,type,value,date
338,PRCP,282,1965-08-1
339,TMAX,250,1965-09-1
340,TMIN,140,1965-09-1
341,PRCP,0,1965-09-1
342,TMAX,235,1965-10-1
343,TMIN,150,1965-10-1
344,PRCP,239,1965-10-1
345,TMAX,240,1965-11-1
346,TMIN,115,1965-11-1
347,PRCP,0,1965-11-1
348,TMAX,235,1965-12-1
349,TMIN,120,1965-12-1
350,PRCP,0,1965-12-1
351,TMAX,250,1966-01-1
352,TMIN,130,1966-01-1
353,PRCP,0,1966-01-1
354,TMAX,220,1966-02-1
355,TMIN,70,1966-02-1
356,PRCP,0,1966-02-1
357,TMAX,280,1966-03-1
358,TMIN,140,1966-03-1
359,PRCP,0,1966-03-1
360,TMAX,285,1966-04-1
361,TMIN,165,1966-04-1
362,PRCP,0,1966-04-1
363,TMAX,275,1966-05-1
364,TMIN,180,1966-05-1
365,PRCP,0,1966-05-1
366,TMAX,280,1966-06-1
367,TMIN,170,1966-06-1
368,PRCP,0,1966-06-1
369,TMAX,275,1966-07-1
370,TMIN,170,1966-07-1
371,PRCP,0,1966-07-1
372,TMAX,275,1966-08-1
373,TMIN,160,1966-08-1
374,PRCP,161,1966-08-1
375,TMAX,260,1966-09-1
376,TMIN,160,1966-09-1
377,PRCP,27,1966-09-1
378,TMAX,260,1966-10-1
379,TMIN,135,1966-10-1
380,PRCP,20,1966-10-1
381,TMAX,260,1966-11-1
382,TMIN,130,1966-11-1
383,PRCP,0,1966-11-1
384,TMAX,241,1966-12-1
385,TMIN,109,1966-12-1
386,PRCP,0,1966-12-1
387,TMAX,262,1967-01-1
388,TMIN,130,1967-01-1
389,PRCP,0,1967-01-1
390,TMAX,272,1967-02-1
391,TMIN,140,1967-02-1
392,PRCP,0,1967-02-1
393,TMAX,270,1967-03-1
394,TMIN,131,1967-03-1
395,PRCP,0,1967-03-1
396,TMAX,300,1967-04-1
397,TMIN,164,1967-04-1
398,PRCP,0,1967-04-1
399,TMAX,326,1967-05-1
400,TMIN,186,1967-05-1
401,PRCP,0,1967-05-1
402,TMAX,329,1967-06-1
403,TMIN,184,1967-06-1
404,PRCP,0,1967-06-1
405,TMAX,266,1967-07-1
406,TMIN,168,1967-07-1
407,PRCP,23,1967-07-1
408,TMAX,279,1967-08-1
409,TMIN,142,1967-08-1
410,PRCP,0,1967-08-1
411,TMAX,267,1967-09-1
412,TMIN,158,1967-09-1
413,PRCP,37,1967-09-1
414,TMAX,278,1967-10-1
415,TMIN,146,1967-10-1
416,PRCP,22,1967-10-1
417,TMAX,260,1967-11-1
418,TMIN,128,1967-11-1
419,PRCP,0,1967-11-1
420,TMAX,255,1967-12-1
421,TMIN,142,1967-12-1
422,PRCP,0,1967-12-1
423,TMAX,253,1968-01-1
424,TMIN,139,1968-01-1
425,PRCP,0,1968-01-1
426,TMAX,260,1968-02-1
427,TMIN,126,1968-02-1
428,PRCP,0,1968-02-1
429,TMAX,270,1968-03-1
430,TMIN,130,1968-03-1
431,PRCP,0,1968-03-1
432,TMAX,310,1968-04-1
433,TMIN,173,1968-04-1
434,PRCP,0,1968-04-1
435,TMAX,284,1968-05-1
436,TMIN,170,1968-05-1
437,PRCP,22,1968-05-1
438,TMAX,300,1968-06-1
439,TMIN,173,1968-06-1
440,PRCP,0,1968-06-1
441,TMAX,263,1968-07-1
442,TMIN,164,1968-07-1
443,PRCP,185,1968-07-1
444,TMAX,280,1968-08-1
445,TMIN,160,1968-08-1
446,PRCP,0,1968-08-1
447,TMAX,234,1968-09-1
448,TMIN,154,1968-09-1
449,PRCP,10,1968-09-1
450,TMAX,260,1968-10-1
451,TMIN,143,1968-10-1
452,PRCP,0,1968-10-1
453,TMAX,270,1968-11-1
454,TMIN,152,1968-11-1
455,PRCP,0,1968-11-1
456,TMAX,270,1968-12-1
457,TMIN,143,1968-12-1
458,PRCP,0,1968-12-1
459,TMAX,260,1969-01-1
460,TMIN,140,1969-01-1
461,PRCP,0,1969-01-1
462,TMAX,292,1969-02-1
463,TMIN,144,1969-02-1
464,PRCP,0,1969-02-1
465,TMAX,300,1969-03-1
466,TMIN,260,1969-03-1
467,PRCP,0,1969-03-1
468,TMAX,251,1969-04-1
469,TMIN,104,1969-04-1
470,PRCP,0,1969-04-1
471,TMAX,310,1969-05-1
472,TMIN,170,1969-05-1
473,PRCP,0,1969-05-1
474,TMAX,282,1969-06-1
475,TMIN,180,1969-06-1
476,PRCP,4,1969-06-1
477,TMAX,272,1969-07-1
478,TMIN,160,1969-07-1
479,PRCP,0,1969-07-1
480,TMAX,260,1969-08-1
481,TMIN,168,1969-08-1
482,PRCP,0,1969-08-1
483,TMAX,220,1969-09-1
484,TMIN,160,1969-09-1
485,PRCP,80,1969-09-1
486,TMAX,248,1969-10-1
487,TMIN,150,1969-10-1
488,PRCP,7,1969-10-1
489,TMAX,256,1969-11-1
490,TMIN,156,1969-11-1
491,PRCP,0,1969-11-1
492,TMAX,252,1969-12-1
493,TMIN,148,1969-12-1
494,PRCP,0,1969-12-1
495,TMAX,250,1970-01-1
496,TMIN,133,1970-01-1
497,PRCP,0,1970-01-1
498,TMAX,274,1970-02-1
499,TMIN,130,1970-02-1
500,PRCP,0,1970-02-1
501,TMAX,278,1970-03-1
502,TMIN,152,1970-03-1
503,PRCP,0,1970-03-1
504,TMAX,318,1970-04-1
505,TMIN,168,1970-04-1
506,PRCP,0,1970-04-1
507,TMAX,334,1970-05-1
508,TMIN,189,1970-05-1
509,PRCP,0,1970-05-1
510,TMAX,280,1970-06-1
511,TMIN,160,1970-06-1
512,PRCP,0,1970-06-1
513,TMAX,240,1970-07-1
514,TMIN,140,1970-07-1
515,PRCP,13,1970-07-1
516,TMAX,260,1970-08-1
517,TMIN,167,1970-08-1
518,PRCP,105,1970-08-1
519,TMAX,240,1970-09-1
520,TMIN,170,1970-09-1
521,PRCP,0,1970-09-1
522,TMAX,269,1970-10-1
523,TMIN,142,1970-10-1
524,PRCP,0,1970-10-1
525,TMAX,280,1970-11-1
526,TMIN,142,1970-11-1
527,PRCP,0,1970-11-1
528,TMAX,273,1970-12-1
529,TMIN,130,1970-12-1
530,PRCP,0,1970-12-1
531,TMAX,273,1971-01-1
532,TMIN,120,1971-01-1
533,PRCP,0,1971-01-1
534,TMAX,300,1971-02-1
535,TMIN,133,1971-02-1
536,PRCP,0,1971-02-1
537,TMAX,300,1971-06-1
538,TMIN,158,1971-06-1
539,PRCP,32,1971-06-1
540,TMAX,250,1971-07-1
541,TMIN,140,1971-07-1
542,PRCP,15,1971-07-1
543,TMAX,256,1971-08-1
544,TMIN,180,1971-08-1
545,PRCP,90,1971-08-1
546,TMAX,245,1971-09-1
547,TMIN,165,1971-09-1
548,PRCP,55,1971-09-1
549,TMAX,225,1971-10-1
550,TMIN,165,1971-10-1
551,PRCP,150,1971-10-1
552,TMAX,250,1971-11-1
553,TMIN,110,1971-11-1
554,PRCP,0,1971-11-1
555,TMAX,250,1971-12-1
556,TMIN,120,1971-12-1
557,PRCP,120,1971-12-1
558,TMAX,250,1972-01-1
559,TMIN,105,1972-01-1
560,PRCP,0,1972-01-1
561,TMAX,230,1972-02-1
562,TMIN,115,1972-02-1
563,PRCP,0,1972-02-1
564,TMAX,260,1972-03-1
565,TMIN,110,1972-03-1
566,PRCP,0,1972-03-1
567,TMAX,285,1972-04-1
568,TMIN,115,1972-04-1
569,PRCP,0,1972-04-1
570,TMAX,290,1972-05-1
571,TMIN,180,1972-05-1
572,PRCP,0,1972-05-1
573,TMAX,290,1972-06-1
574,TMIN,160,1972-06-1
575,PRCP,140,1972-06-1
576,TMAX,275,1972-07-1
577,TMIN,170,1972-07-1
578,PRCP,0,1972-07-1
579,TMAX,220,1972-08-1
580,TMIN,150,1972-08-1
581,PRCP,10,1972-08-1
582,TMAX,250,1972-09-1
583,TMIN,170,1972-09-1
584,PRCP,175,1972-09-1
585,TMAX,240,1972-10-1
